SampleID,Enterococcus,Staphylococcus,Enterobacteriaceae,Bacteroides,Streptococcus,Parabacteroides,Lactobacillus,UBA1819,Acinetobacter,Finegoldia,Alistipes,Fenollaria,Pseudomonas,Erysipelatoclostridium,Bilophila,Phascolarctobacterium,Eisenbergiella,Akkermansia,Porphyromonas,Veillonella,Anaerococcus,Campylobacter,Bifidobacterium,Sutterella,Peptoniphilus,Hungatella,Ezakiella,Dialister,Faecalibacterium,[Clostridium] innocuum group,UCG-002,Colidextribacter,Flavonifractor,NK4A214 group,Odoribacter,Parasutterella,Lachnoclostridium,Barnesiella,Intestinimonas,Family XIII AD3011 group,Anaerostipes,[Eubacterium] hallii group,DTU089,Oscillibacter,Ruminococcus,Frisingicoccus,Butyricicoccus
195S1,1.9069049026525044e-05,1.9069049026525044e-05,0.9321578607426234,1.9069049026525044e-05,0.0014212818612934794,1.9069049026525044e-05,0.06152120056741775,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0006091207976972054,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05
197S1,0.008476997137353257,1.9069049026525044e-05,1.9069049026525044e-05,0.7129074620842983,1.9069049026525044e-05,0.015794405043653474,1.9069049026525044e-05,0.014194971621511352,1.9069049026525044e-05,0.007197450399639559,0.00991648721728117,1.9069049026525044e-05,1.9069049026525044e-05,0.0013595184088208054,1.9069049026525044e-05,0.026230708123130834,0.04018576473132087,1.9069049026525044e-05,0.0059978753330329655,1.9069049026525044e-05,0.014794759154814648,1.9069049026525044e-05,1.9069049026525044e-05,0.04542390918883633,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.012275651514940802,1.9069049026525044e-05,0.0029989376665164828,1.9069049026525044e-05,1.9069049026525044e-05,0.01575441920809992,1.9069049026525044e-05,0.001999291777677655,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.002878980159855823,1.9069049026525044e-05,0.0010796175599459338,1.9069049026525044e-05,1.9069049026525044e-05,0.026830495656434132,1.9069049026525044e-05,0.0003198866844284248,0.0021192492843383143
198S1,1.9069049026525044e-05,1.9069049026525044e-05,0.005912632483192976,0.5575157613767654,1.9069049026525044e-05,0.03429326840251927,1.9069049026525044e-05,0.005730705329863962,1.9069049026525044e-05,1.9069049026525044e-05,0.07386242425157996,0.0099150298564313,1.9069049026525044e-05,1.9069049026525044e-05,0.00136445364996761,0.004912033139883395,0.003638543066580293,1.9069049026525044e-05,0.006549377519844528,1.9069049026525044e-05,1.9069049026525044e-05,0.005548778176534947,1.9069049026525044e-05,0.045026970448931135,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.002910834453264235,1.9069049026525044e-05,0.00891443051312172,0.00545781459987044,0.006185523213186499,0.019284278252875556,1.9069049026525044e-05,1.9069049026525044e-05,0.037840847892435046,0.017283079566256392,0.003274688759922264,1.9069049026525044e-05,1.9069049026525044e-05,0.0012734900733031025,0.0014554172266321175,0.014736099419650187,1.9069049026525044e-05,1.9069049026525044e-05
200S1,0.004197011987147032,1.9069049026525044e-05,0.03654897938807208,0.4623708205840314,1.9069049026525044e-05,0.020897622186002933,1.9069049026525044e-05,1.9069049026525044e-05,0.000524626498393379,0.02054787118707401,0.025356947422346652,0.014689541955014613,1.9069049026525044e-05,1.9069049026525044e-05,0.007607084226703996,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.034887662143159706,1.9069049026525044e-05,0.05692197507568163,0.005508578233130479,0.004896513985004871,0.029466521659761456,0.041358055623344714,1.9069049026525044e-05,0.01110459421599319,0.1828323346900926,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0030603212406280444,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05
201S1,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.22546658786031099,0.000727937756759506,0.00873525308111407,0.0003882334702717365,0.00048529183783967063,0.00033970428648776946,0.11486857801665004,0.04076451437853234,0.11341270250313104,1.9069049026525044e-05,0.014607284318974087,1.9069049026525044e-05,0.004416155724341003,0.000776466940543473,1.9069049026525044e-05,0.024749883729823202,0.0006308793891915719,0.08327607937328749,0.03916305131366142,1.9069049026525044e-05,0.011647004108152096,0.10030982288145991,1.9069049026525044e-05,0.020576373924402036,0.00989995349192928,0.024216062708199565,1.9069049026525044e-05,0.007424965118946961,0.0032514553135257933,0.002280871637846452,0.00577497287029208,0.025186646383878904,0.0026205759243342216,0.006697027362187455,0.01373375901086268,1.9069049026525044e-05,1.9069049026525044e-05,0.002038225718926617,0.010142599410849116,0.0004367626540557036,1.9069049026525044e-05,0.0034941012324456286,0.0012617587783831437,0.002086754902710584
202S1,1.9069049026525044e-05,0.005091117215992874,1.9069049026525044e-05,0.3848983471935583,0.00024714161242683856,1.9069049026525044e-05,1.9069049026525044e-05,0.0157676348728323,0.00044485490236830937,0.0007414248372805156,1.9069049026525044e-05,0.006722251858010009,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.012060510686429722,0.07948074255647128,0.012357080621341927,1.9069049026525044e-05,0.17799138926980912,0.01922761744680804,1.9069049026525044e-05,1.9069049026525044e-05,0.017794196094732376,1.9069049026525044e-05,0.0007414248372805156,0.0013345647071049283,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0013839930295902957,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.002916271026636695
203S1,1.9069049026525044e-05,1.9069049026525044e-05,0.042113050389843476,0.29347987365101996,0.00291439795085422,1.9069049026525044e-05,0.001311479077884399,0.05493640137360205,1.9069049026525044e-05,1.9069049026525044e-05,0.059162278402340666,1.9069049026525044e-05,1.9069049026525044e-05,0.011511871905874169,1.9069049026525044e-05,0.43205949621413814,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.001602918872969821,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.005537356106623018,1.9069049026525044e-05,1.9069049026525044e-05,0.005683076004165729,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.030455458586426596,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.004517316823824041,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.013406230573929413,0.019380746373180564,1.9069049026525044e-05
204S1,1.9069049026525044e-05,0.0008457414581111917,0.32263274665570896,1.9069049026525044e-05,0.025707016403838098,1.9069049026525044e-05,0.5288879447525758,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.05331695108842638,1.9069049026525044e-05,1.9069049026525044e-05,0.061739126442116994,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05
205S1,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.5545065106231734,1.9069049026525044e-05,0.042416112395895975,1.9069049026525044e-05,0.062210298180647425,1.9069049026525044e-05,0.005745251202830354,0.20754719970224655,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0015260823507518128,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0013914280256854764,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.000314193425154785,0.018223218658977528,1.9069049026525044e-05,1.9069049026525044e-05,0.0004039629751990093,0.020243033534972574,1.9069049026525044e-05,0.012298428356058728,0.0077650660788254,1.9069049026525044e-05,0.009784880954820446,1.9069049026525044e-05,0.005431057777675569,1.9069049026525044e-05,0.0015260823507518128,0.0008976955004422428,1.9069049026525044e-05,1.9069049026525044e-05,0.0020198148759950465,1.9069049026525044e-05,0.00816902905402441,0.00502709480247656,1.9069049026525044e-05
207S1,0.036568859973750624,0.252734050783442,0.03133472282734798,0.1131882157909572,0.05907097636654414,0.010000940619019339,0.23808314011025247,0.0006075337759217356,1.9069049026525044e-05,0.0414992302321924,0.019698114350077813,1.9069049026525044e-05,0.000537433724853843,1.9069049026525044e-05,1.9069049026525044e-05,0.0013552676539792562,0.0033180690838802485,1.9069049026525044e-05,0.0062622712287317365,0.015422011234936365,0.06743624912731265,1.9069049026525044e-05,0.008178339291254133,0.0031311356143658682,0.027876453641331945,0.0027105353079585125,1.9069049026525044e-05,0.024277984353180126,1.9069049026525044e-05,0.001425367705047149,1.9069049026525044e-05,1.9069049026525044e-05,0.0003972336227180579,0.0007010005106789257,0.00016356678582508266,1.9069049026525044e-05,0.0006776338269896281,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,0.0007944672454361157,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05,1.9069049026525044e-05
